organization_name,organization_user_name,organization_namespace_url,organization_website,location_country,form_of_organization
National Renewable Energy Centre - CENER,iat-cener,https://github.com/iat-cener,https://www.cener.com,Spain,government agency
OpenModelica,OpenModelica,https://github.com/OpenModelica,https://openmodelica.org,Sweden,non-profit
The Open Source Spatial Electrification Tool,OnSSET,https://github.com/OnSSET,http://www.onsset.org/,Sweden,academia
ICOS Carbon Portal,ICOS-Carbon-Portal,https://github.com/ICOS-Carbon-Portal,https://www.icos-cp.eu,Sweden,government agency
Greensway AB,GreenswayAB,https://github.com/GreenswayAB,https://greensway.se/,Sweden,non-profit
Energy Web Foundation,energywebfoundation,https://github.com/energywebfoundation,http://energyweb.org/,Switzerland,for-profit
Architecture and Building Systems,architecture-building-systems,https://github.com/architecture-building-systems,http://systems.arch.ethz.ch,Switzerland,academia
Weather and Climate Risks Group,CLIMADA-project,https://github.com/CLIMADA-project,https://wcr.ethz.ch/,Switzerland,academia
DS3 Lab,DS3Lab,https://github.com/DS3Lab,https://ds3lab.inf.ethz.ch/,Switzerland,academia
TEKSI wastewater module,QGEP,https://github.com/QGEP,https://qgep.github.io/docs/,Switzerland,community
Artificial Intelligence & Machine Learning (AI:ML Lab) @ HSG,HSG-AIML,https://github.com/HSG-AIML,https://hsg-aiml.github.io/,Switzerland,academia
pySTEPS,pySTEPS,https://github.com/pySTEPS,https://pysteps.github.io/,Switzerland,academia
santiago-sanitation-systems,santiago-sanitation-systems,https://github.com/santiago-sanitation-systems,https://www.sanichoice.net/,Switzerland,collaboration
SERVIR-Mekong,Servir-Mekong,https://github.com/Servir-Mekong,http://servir.adpc.net,Thailand,collaboration
The Ocean Cleanup,TheOceanCleanupAlgorithms,https://github.com/TheOceanCleanupAlgorithms,https://theoceancleanup.com,Netherlands,non-profit
Switch,SwitchEV,https://github.com/SwitchEV,https://www.switch-ev.com,UK,for-profit
Oasis Loss Modelling Framework,OasisLMF,https://github.com/OasisLMF,https://oasislmf.org/,UK,for-profit
Energy Sparks,Energy-Sparks,https://github.com/Energy-Sparks,https://energysparks.uk/,UK,non-profit
Protect Earth,protect-earth,https://github.com/protect-earth,https://protect.earth,UK,non-profit
mySociety,mysociety,https://github.com/mysociety,https://www.mysociety.org/,UK,non-profit
